t_sec,f_peak_hz,amp_peak_m_s2
5.000,8.426322,0.270580
15.000,8.447238,0.229992
25.000,8.433021,0.257989
35.000,8.431828,0.258740
45.000,8.438966,0.246322
55.000,8.441567,0.242827
65.000,8.435317,0.255313
75.000,8.431248,0.258817
85.000,8.443104,0.243298
95.000,8.441456,0.250621
105.000,8.442049,0.248901
115.000,8.445838,0.247657
125.000,8.432770,0.246402
135.000,8.434533,0.277642
145.000,8.444064,0.246454
155.000,8.464739,0.271562
165.000,8.458819,0.258377
175.000,8.471337,0.270858
185.000,8.472463,0.273267
195.000,8.479642,0.289183
205.000,8.477910,0.265087
215.000,8.449249,0.234582
225.000,8.417840,0.273009
235.000,8.417828,0.269149
245.000,8.399117,0.283019
255.000,8.407575,0.275461
265.000,8.417347,0.273807
275.000,8.430825,0.259693
285.000,8.419474,0.279613
295.000,8.416306,0.275632
