t_sec,imu_m_s2,x_cmd_mm,fit_m_s2
3.0023,0.239282,-2.4818,-0.065587
3.0032,0.239282,-2.4633,-0.065596
3.0041,0.239282,-2.4392,-0.065601
3.0051,0.239282,-2.4093,-0.065603
3.0060,0.239282,-2.3735,-0.065602
3.0069,0.239282,-2.3320,-0.065597
3.0082,0.239282,-2.2667,-0.065584
3.0094,0.239282,-2.1914,-0.065566
3.0107,0.239282,-2.1062,-0.065541
3.0119,-0.007178,-2.0117,-0.065510
3.0132,-0.007178,-1.9082,-0.065474
3.0144,-0.007178,-1.7943,-0.065430
3.0157,-0.007178,-1.6758,-0.065383
3.0169,-0.007178,-1.5487,-0.065330
3.0182,-0.007178,-1.4144,-0.065271
3.0194,-0.007178,-1.2729,-0.065208
3.0207,-0.007178,-1.1266,-0.065140
3.0219,-0.007178,-0.9756,-0.065068
3.0232,-0.028714,-0.8204,-0.064992
3.0244,-0.028714,-0.6610,-0.064912
3.0257,-0.028714,-0.4987,-0.064829
3.0269,-0.028714,-0.3342,-0.064743
3.0282,-0.028714,-0.1682,-0.064655
3.0294,-0.028714,-0.0014,-0.064564
3.0307,-0.028714,0.1662,-0.064472
3.0319,-0.028714,0.3318,-0.064378
3.0332,-0.064606,0.4961,-0.064284
3.0344,-0.064606,0.6585,-0.064189
3.0357,-0.064606,0.8179,-0.064094
3.0369,-0.064606,0.9736,-0.064000
3.0382,-0.064606,1.1251,-0.063906
3.0394,-0.064606,1.2715,-0.063814
3.0407,-0.064606,1.4123,-0.063723
3.0419,-0.064606,1.5468,-0.063634
3.0432,-0.380459,1.6743,-0.063548
3.0444,-0.380459,1.7945,-0.063464
3.0457,-0.380459,1.9066,-0.063384
3.0469,-0.380459,2.0102,-0.063307
3.0482,-0.380459,2.1049,-0.063234
3.0494,-0.380459,2.1902,-0.063166
3.0507,-0.380459,2.2685,-0.063099
3.0545,-0.215354,2.4327,-0.062937
3.0555,-0.215354,2.4597,-0.062902
3.0564,-0.215354,2.4788,-0.062873
3.0573,-0.215354,2.4918,-0.062847
3.0582,-0.215354,2.4987,-0.062825
3.0591,-0.215354,2.4996,-0.062805
3.0601,-0.215354,2.4942,-0.062789
3.0610,-0.215354,2.4828,-0.062776
3.0619,-0.215354,2.4654,-0.062767
3.0632,-0.026321,2.4334,-0.062761
3.0644,-0.026321,2.3899,-0.062760
3.0657,-0.026321,2.3356,-0.062766
3.0669,-0.026321,2.2709,-0.062778
3.0682,-0.026321,2.1961,-0.062796
3.0694,-0.026321,2.1115,-0.062820
3.0707,-0.026321,2.0175,-0.062851
3.0719,-0.026321,1.9145,-0.062887
3.0732,-0.026321,1.8030,-0.062929
3.0744,-0.026321,1.6835,-0.062977
3.0757,-0.026321,1.5564,-0.063030
3.0769,-0.026321,1.4224,-0.063088
3.0782,-0.026321,1.2822,-0.063151
3.0794,-0.026321,1.1361,-0.063219
3.0807,-0.026321,0.9850,-0.063291
3.0819,-0.026321,0.8296,-0.063367
3.0832,-0.009571,0.6704,-0.063446
3.0844,-0.009571,0.5082,-0.063529
3.0857,-0.009571,0.3438,-0.063615
3.0869,-0.009571,0.1779,-0.063703
3.0882,-0.009571,0.0099,-0.063794
3.0894,-0.009571,-0.1575,-0.063886
3.0907,-0.009571,-0.3221,-0.063979
3.0919,-0.009571,-0.4866,-0.064073
3.0932,-0.064606,-0.6490,-0.064168
3.0944,-0.064606,-0.8086,-0.064263
3.0957,-0.064606,-0.9646,-0.064357
3.0969,-0.064606,-1.1163,-0.064451
3.0982,-0.064606,-1.2630,-0.064544
3.0994,-0.064606,-1.4043,-0.064635
3.1007,-0.064606,-1.5390,-0.064723
3.1019,-0.064606,-1.6670,-0.064810
3.1032,-0.064606,-1.7876,-0.064894
3.1044,0.035892,-1.9002,-0.064974
3.1057,0.035892,-2.0048,-0.065051
3.1069,0.035892,-2.0997,-0.065124
3.1082,0.035892,-2.1854,-0.065193
3.1094,0.035892,-2.2615,-0.065258
3.1107,0.035892,-2.3276,-0.065317
3.1119,0.035892,-2.3833,-0.065372
3.1156,0.189033,-2.4853,-0.065502
3.1166,0.189033,-2.4961,-0.065527
3.1175,0.189033,-2.4999,-0.065548
3.1184,0.189033,-2.4977,-0.065566
3.1194,0.189033,-2.4895,-0.065580
3.1203,0.189033,-2.4752,-0.065591
3.1212,0.189033,-2.4549,-0.065599
3.1221,0.189033,-2.4287,-0.065603
3.1232,0.189033,-2.3927,-0.065603
3.1244,-0.471386,-2.3391,-0.065598
3.1257,-0.471386,-2.2750,-0.065586
3.1269,-0.471386,-2.2008,-0.065568
3.1282,-0.471386,-2.1167,-0.065544
3.1294,-0.471386,-2.0233,-0.065514
3.1307,-0.471386,-1.9207,-0.065478
3.1319,-0.471386,-1.8096,-0.065436
3.1332,-0.471386,-1.6907,-0.065389
3.1344,0.145962,-1.5641,-0.065336
3.1357,0.145962,-1.4305,-0.065278
3.1369,0.145962,-1.2905,-0.065216
3.1382,0.145962,-1.1448,-0.065148
3.1394,0.145962,-0.9940,-0.065076
3.1407,0.145962,-0.8388,-0.065001
