t_sec,imu_m_s2,x_cmd_mm,fit_m_s2
5.0000,-0.090927,-3.0000,-0.063533
5.0013,-0.090927,-2.9931,-0.063458
5.0025,-0.090927,-2.9729,-0.063383
5.0038,-0.090927,-2.9394,-0.063307
5.0050,0.009571,-2.8929,-0.063232
5.0063,0.009571,-2.8334,-0.063156
5.0075,0.009571,-2.7614,-0.063082
5.0088,0.009571,-2.6770,-0.063008
5.0100,0.009571,-2.5801,-0.062936
5.0113,0.009571,-2.4729,-0.062866
5.0125,0.009571,-2.3540,-0.062797
5.0138,0.009571,-2.2248,-0.062731
5.0150,-0.011964,-2.0855,-0.062667
5.0163,-0.011964,-1.9370,-0.062606
5.0175,-0.011964,-1.7799,-0.062549
5.0188,-0.011964,-1.6148,-0.062495
5.0200,-0.011964,-1.4423,-0.062444
5.0228,-0.011964,-1.0358,-0.062345
5.0238,-0.011964,-0.8926,-0.062317
5.0247,-0.284746,-0.7503,-0.062291
5.0256,-0.284746,-0.6064,-0.062268
5.0265,-0.284746,-0.4610,-0.062248
5.0275,-0.284746,-0.3026,-0.062229
5.0288,-0.284746,-0.1030,-0.062209
5.0300,-0.284746,0.0972,-0.062194
5.0313,-0.284746,0.2971,-0.062184
5.0325,-0.284746,0.4955,-0.062179
5.0338,-0.284746,0.6918,-0.062180
5.0350,0.320638,0.8850,-0.062185
5.0363,0.320638,1.0743,-0.062195
5.0375,0.320638,1.2587,-0.062211
5.0388,0.320638,1.4376,-0.062231
5.0400,0.320638,1.6102,-0.062256
5.0413,0.320638,1.7753,-0.062286
5.0425,0.320638,1.9327,-0.062320
5.0438,0.320638,2.0814,-0.062359
5.0450,-0.208176,2.2209,-0.062402
5.0463,-0.208176,2.3505,-0.062449
5.0475,-0.208176,2.4696,-0.062500
5.0488,-0.208176,2.5778,-0.062554
5.0500,-0.208176,2.6744,-0.062612
5.0513,-0.208176,2.7591,-0.062673
5.0525,-0.208176,2.8315,-0.062737
5.0538,-0.208176,2.8913,-0.062803
5.0550,0.205783,2.9383,-0.062872
5.0563,0.205783,2.9721,-0.062943
5.0575,0.205783,2.9927,-0.063015
5.0588,0.205783,3.0000,-0.063089
5.0600,0.205783,2.9939,-0.063163
5.0613,0.205783,2.9744,-0.063239
5.0625,0.205783,2.9418,-0.063314
5.0638,0.205783,2.8960,-0.063390
5.0650,0.016750,2.8372,-0.063465
5.0663,0.016750,2.7659,-0.063540
5.0675,0.016750,2.6822,-0.063614
5.0688,0.016750,2.5866,-0.063686
5.0700,0.016750,2.4795,-0.063756
5.0713,0.016750,2.3610,-0.063825
5.0736,0.016750,2.1178,-0.063945
5.0745,0.016750,2.0062,-0.063992
5.0754,0.210568,1.8937,-0.064036
5.0764,0.210568,1.7764,-0.064078
5.0775,0.210568,1.6246,-0.064128
5.0788,0.210568,1.4529,-0.064179
5.0800,0.210568,1.2744,-0.064226
5.0813,0.210568,1.0906,-0.064269
5.0825,0.210568,0.9017,-0.064307
5.0838,0.210568,0.7089,-0.064342
5.0850,0.210568,0.5128,-0.064371
5.0863,-0.454636,0.3145,-0.064396
5.0875,-0.454636,0.1148,-0.064416
5.0888,-0.454636,-0.0855,-0.064431
5.0900,-0.454636,-0.2853,-0.064441
5.0913,-0.454636,-0.4839,-0.064446
5.0925,-0.454636,-0.6803,-0.064447
5.0938,-0.454636,-0.8737,-0.064442
5.0950,-0.454636,-1.0633,-0.064432
5.0963,-0.114855,-1.2480,-0.064417
5.0975,-0.114855,-1.4272,-0.064397
5.0988,-0.114855,-1.6001,-0.064372
5.1000,-0.114855,-1.7658,-0.064342
5.1013,-0.114855,-1.9237,-0.064308
5.1025,-0.114855,-2.0729,-0.064270
5.1038,-0.114855,-2.2130,-0.064227
5.1050,-0.114855,-2.3432,-0.064180
5.1063,-0.342174,-2.4629,-0.064130
5.1075,-0.342174,-2.5717,-0.064075
5.1088,-0.342174,-2.6689,-0.064018
5.1100,-0.342174,-2.7545,-0.063957
5.1113,-0.342174,-2.8276,-0.063893
5.1125,-0.342174,-2.8882,-0.063827
5.1138,-0.342174,-2.9359,-0.063758
5.1150,-0.342174,-2.9705,-0.063688
5.1163,-0.124427,-2.9919,-0.063615
5.1175,-0.124427,-2.9999,-0.063542
5.1188,-0.124427,-2.9946,-0.063467
5.1200,-0.124427,-2.9760,-0.063392
5.1213,-0.124427,-2.9440,-0.063316
5.1225,-0.124427,-2.8990,-0.063240
5.1252,-0.124427,-2.7562,-0.063077
5.1262,-0.404387,-2.6931,-0.063021
5.1271,-0.404387,-2.6247,-0.062968
5.1280,-0.404387,-2.5498,-0.062915
5.1290,-0.404387,-2.4692,-0.062863
5.1300,-0.404387,-2.3686,-0.062805
5.1313,-0.404387,-2.2407,-0.062739
5.1325,-0.404387,-2.1024,-0.062675
5.1338,-0.404387,-1.9550,-0.062613
5.1350,-0.404387,-1.7988,-0.062555
5.1363,0.378066,-1.6347,-0.062501
5.1375,0.378066,-1.4632,-0.062450
5.1388,0.378066,-1.2853,-0.062403
5.1400,0.378066,-1.1013,-0.062360
5.1413,0.378066,-0.9129,-0.062321
5.1425,0.378066,-0.7203,-0.062286
5.1438,0.378066,-0.5244,-0.062256
5.1450,0.378066,-0.3262,-0.062231
5.1463,0.031107,-0.1266,-0.062211
5.1475,0.031107,0.0737,-0.062196
5.1488,0.031107,0.2736,-0.062185
5.1500,0.031107,0.4723,-0.062180
5.1513,0.031107,0.6689,-0.062179
5.1525,0.031107,0.8625,-0.062184
5.1538,0.031107,1.0522,-0.062194
5.1550,0.031107,1.2373,-0.062209
5.1563,0.031107,1.4168,-0.062228
5.1575,0.002393,1.5901,-0.062253
5.1588,0.002393,1.7563,-0.062282
5.1600,0.002393,1.9147,-0.062316
5.1613,0.002393,2.0643,-0.062354
5.1625,0.002393,2.2049,-0.062396
5.1638,0.002393,2.3357,-0.062443
5.1650,0.002393,2.4562,-0.062493
5.1663,0.002393,2.5657,-0.062547
5.1675,0.200997,2.6637,-0.062605
5.1688,0.200997,2.7498,-0.062666
5.1700,0.200997,2.8237,-0.062729
5.1713,0.200997,2.8850,-0.062795
5.1725,0.200997,2.9335,-0.062864
5.1738,0.200997,2.9690,-0.062935
5.1771,-0.215354,2.9983,-0.063130
5.1781,-0.215354,2.9892,-0.063187
5.1790,-0.215354,2.9731,-0.063243
5.1799,-0.215354,2.9497,-0.063298
5.1808,-0.215354,2.9185,-0.063355
5.1818,-0.215354,2.8807,-0.063411
5.1827,-0.215354,2.8360,-0.063467
5.1838,-0.215354,2.7749,-0.063531
5.1850,-0.215354,2.6928,-0.063605
5.1863,-0.215354,2.5985,-0.063677
5.1875,-0.153141,2.4927,-0.063748
5.1888,-0.153141,2.3758,-0.063817
5.1900,-0.153141,2.2483,-0.063884
5.1913,-0.153141,2.1108,-0.063948
5.1925,-0.153141,1.9639,-0.064009
5.1938,-0.153141,1.8083,-0.064067
5.1950,-0.153141,1.6446,-0.064122
5.1963,-0.153141,1.4720,-0.064174
5.1975,0.289532,1.2951,-0.064221
5.1988,0.289532,1.1125,-0.064264
5.2000,0.289532,0.9234,-0.064303
5.2013,0.289532,0.7317,-0.064338
5.2025,0.289532,0.5360,-0.064368
5.2038,0.289532,0.3379,-0.064393
5.2050,0.289532,0.1383,-0.064414
5.2063,0.289532,-0.0619,-0.064430
5.2075,0.145962,-0.2618,-0.064440
5.2088,0.145962,-0.4607,-0.064446
5.2100,0.145962,-0.6574,-0.064447
5.2113,0.145962,-0.8511,-0.064442
5.2125,0.145962,-1.0410,-0.064433
5.2138,0.145962,-1.2268,-0.064419
5.2150,0.145962,-1.4066,-0.064399
5.2163,0.145962,-1.5801,-0.064375
5.2175,-0.337388,-1.7468,-0.064346
5.2188,-0.337388,-1.9056,-0.064313
5.2200,-0.337388,-2.0559,-0.064275
5.2213,-0.337388,-2.1971,-0.064232
5.2225,-0.337388,-2.3285,-0.064186
5.2238,-0.337388,-2.4495,-0.064136
