t_sec,imu_m_s2,x_cmd_mm,fit_m_s2
5.0003,0.260818,-5.9992,-0.059022
5.0016,-0.093320,-5.9790,-0.059055
5.0028,-0.093320,-5.9324,-0.059085
5.0041,-0.093320,-5.8593,-0.059113
5.0053,-0.093320,-5.7601,-0.059139
5.0066,-0.093320,-5.6352,-0.059162
5.0078,-0.093320,-5.4852,-0.059183
5.0091,-0.093320,-5.3108,-0.059201
5.0103,-0.093320,-5.1127,-0.059217
5.0116,-0.007178,-4.8916,-0.059229
5.0128,-0.007178,-4.6492,-0.059239
5.0146,-0.007178,-4.2596,-0.059248
5.0208,0.138784,-2.6498,-0.059232
5.0219,0.138784,-2.3505,-0.059222
5.0228,0.138784,-2.0657,-0.059212
5.0238,0.138784,-1.7848,-0.059200
5.0247,0.138784,-1.5009,-0.059187
5.0256,0.138784,-1.2134,-0.059172
5.0265,0.138784,-0.9231,-0.059156
5.0274,0.138784,-0.6305,-0.059138
5.0284,0.138784,-0.3339,-0.059119
5.0293,0.138784,-0.0365,-0.059099
5.0302,0.138784,0.2591,-0.059078
5.0311,-0.205783,0.5533,-0.059055
5.0321,-0.205783,0.8462,-0.059032
5.0330,-0.205783,1.1367,-0.059007
5.0339,-0.205783,1.4246,-0.058981
5.0348,-0.205783,1.7099,-0.058954
5.0357,-0.205783,1.9908,-0.058927
5.0367,-0.205783,2.2662,-0.058899
5.0378,-0.205783,2.6034,-0.058862
5.0391,-0.205783,2.9579,-0.058821
5.0403,-0.205783,3.2995,-0.058779
5.0416,-0.222533,3.6263,-0.058737
5.0428,-0.222533,3.9372,-0.058693
5.0441,-0.222533,4.2304,-0.058649
5.0453,-0.222533,4.5049,-0.058605
5.0466,-0.222533,4.7594,-0.058561
5.0478,-0.222533,4.9923,-0.058517
5.0491,-0.222533,5.2032,-0.058473
5.0503,-0.222533,5.3909,-0.058430
5.0516,-0.303888,5.5546,-0.058388
5.0528,-0.303888,5.6936,-0.058346
5.0541,-0.303888,5.8072,-0.058305
5.0553,-0.303888,5.8949,-0.058266
5.0566,-0.303888,5.9564,-0.058228
5.0578,-0.303888,5.9913,-0.058192
5.0591,-0.303888,5.9995,-0.058158
5.0603,-0.303888,5.9810,-0.058125
5.0616,-0.059821,5.9358,-0.058095
5.0628,-0.059821,5.8642,-0.058066
5.0641,-0.059821,5.7665,-0.058041
5.0653,-0.059821,5.6431,-0.058017
5.0666,-0.059821,5.4852,-0.057995
5.0727,-0.751346,4.4339,-0.057933
5.0739,-0.751346,4.1626,-0.057929
5.0748,-0.751346,3.9349,-0.057927
5.0758,-0.751346,3.7069,-0.057927
5.0767,-0.751346,3.4705,-0.057929
5.0776,-0.751346,3.2260,-0.057933
5.0785,-0.751346,2.9738,-0.057938
5.0794,-0.751346,2.7146,-0.057944
5.0804,-0.751346,2.4484,-0.057952
5.0813,-0.751346,2.1765,-0.057962
5.0822,0.854238,1.8992,-0.057973
5.0831,0.854238,1.6172,-0.057986
5.0840,0.854238,1.3316,-0.058000
5.0850,0.854238,1.0426,-0.058015
5.0859,0.854238,0.7511,-0.058032
