# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
0.009195,-0.267996,0.002408,0.000679,8.500000,0.002501
0.019189,-0.081356,0.003409,0.001635,8.500000,0.003781
0.029189,0.311067,0.003430,0.000704,8.500000,0.003502
0.039188,0.330210,0.004266,-0.001690,8.500000,0.004588
0.049189,-0.095713,0.005159,-0.002728,8.500000,0.005836
0.059189,-0.279960,0.003861,-0.002597,8.500000,0.004653
0.069189,-0.358923,0.001588,-0.003503,8.500000,0.003846
0.079189,-0.224925,0.000013,-0.005370,8.500000,0.005370
0.089189,0.090927,-0.000260,-0.006186,8.500000,0.006191
0.099189,-0.026321,-0.000350,-0.005819,8.500000,0.005830
0.109189,-0.380459,0.000760,-0.006429,8.500000,0.006474
0.119189,-0.325424,0.003641,-0.006764,8.500000,0.007681
0.129189,-0.239282,0.005845,-0.005801,8.500000,0.008235
0.139189,0.069392,0.006683,-0.004817,8.500000,0.008238
0.149189,0.411565,0.006726,-0.006043,8.500000,0.009042
0.159189,0.145962,0.007839,-0.008542,8.500000,0.011594
0.169189,-0.234497,0.008098,-0.008892,8.500000,0.012027
0.179189,-0.308674,0.006099,-0.008832,8.500000,0.010733
0.189223,-0.337388,0.003900,-0.010014,8.500000,0.010747
0.199188,-0.081356,0.002590,-0.012048,8.500000,0.012323
0.209188,0.105284,0.002540,-0.012509,8.500000,0.012764
0.219188,-0.203390,0.002338,-0.012012,8.500000,0.012237
0.229188,-0.401994,0.003927,-0.012861,8.500000,0.013447
0.239189,-0.275175,0.006982,-0.012837,8.500000,0.014613
0.249189,-0.129212,0.008732,-0.011799,8.500000,0.014679
0.259189,0.246461,0.009115,-0.011259,8.500000,0.014486
0.269190,0.373280,0.009246,-0.013328,8.500000,0.016221
0.279189,0.373280,0.010871,-0.015791,8.500000,0.019171
0.289189,-0.038285,0.010599,-0.015659,8.500000,0.018908
0.299189,-0.284746,0.008355,-0.015840,8.500000,0.017908
0.309189,-0.351745,0.006083,-0.017443,8.500000,0.018473
0.319188,-0.282353,0.005168,-0.019480,8.500000,0.020154
0.329189,0.026321,0.005145,-0.019273,8.500000,0.019948
0.339189,0.019143,0.005053,-0.019152,8.500000,0.019808
0.349189,-0.323031,0.007415,-0.020125,8.500000,0.021447
0.359189,-0.354138,0.010186,-0.019725,8.500000,0.022200
0.369189,-0.234497,0.011739,-0.018511,8.500000,0.021920
